"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Lhfp","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Lrig1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Mxi1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Mybpc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Notch2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Pde4b","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Phldb2","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Plce1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Plp1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Prima1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Ptn","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Ptpn13","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Ror1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Rreb1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Sash1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Slc27a1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Smoc1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Sntb1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Spata13","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","St5","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","St6gal1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Stard13","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Tnfrsf19","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Usp54","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Yap1","Single-cell sequencing","1","DETAIL"
"Mouse","Brain","Brain","Normal cell","Olfactory ensheathing glia","Zbtb7c","Single-cell sequencing","1","DETAIL"
